Month & Year,order_id,orderDate,customer_id,Resturant_ID,Fooditem,quantity,deliver_status,payment_method
April_Sales_2023,256215,3-Apr-23,25,212,2147,1,Delivered,UPI
April_Sales_2023,256273,5-Apr-23,25,212,2147,2,Delivered,UPI
April_Sales_2023,256289,8-Apr-23,25,212,2147,8,Delivered,UPI
April_Sales_2023,256344,10-Apr-23,25,212,2147,4,Delivered,UPI
April_Sales_2023,256351,13-Apr-23,25,212,2147,6,Delivered,UPI
April_Sales_2023,256360,13-Apr-23,25,212,2146,4,Delivered,UPI
April_Sales_2023,256382,14-Apr-23,25,212,2145,8,Delivered,UPI
April_Sales_2023,256388,14-Apr-23,25,212,2145,2,Delivered,UPI
April_Sales_2023,256394,14-Apr-23,25,212,2147,4,Delivered,UPI
April_Sales_2023,256438,15-Apr-23,25,212,2147,10,Delivered,UPI
April_Sales_2023,256470,16-Apr-23,25,212,2146,6,Delivered,UPI
April_Sales_2023,256471,16-Apr-23,25,212,2147,6,Delivered,UPI
April_Sales_2023,256493,17-Apr-23,25,212,2147,7,Delivered,UPI
April_Sales_2023,256518,18-Apr-23,25,212,2145,4,Delivered,UPI
April_Sales_2023,256561,19-Apr-23,25,212,2147,5,Delivered,UPI
April_Sales_2023,256571,20-Apr-23,25,212,2145,5,Delivered,UPI
April_Sales_2023,256592,22-Apr-23,25,212,2145,10,Delivered,UPI
April_Sales_2023,256606,22-Apr-23,25,212,2147,8,Delivered,UPI
April_Sales_2023,256607,22-Apr-23,25,212,2146,7,Delivered,UPI
April_Sales_2023,256617,23-Apr-23,25,212,2147,10,Delivered,UPI
April_Sales_2023,256628,23-Apr-23,25,212,2147,8,Delivered,UPI
April_Sales_2023,256664,26-Apr-23,25,212,2145,7,Delivered,UPI
April_Sales_2023,256685,27-Apr-23,25,212,2147,2,Delivered,UPI
April_Sales_2023,256686,27-Apr-23,25,212,2146,3,Delivered,UPI
April_Sales_2023,256690,27-Apr-23,25,212,2145,10,Delivered,UPI
April_Sales_2023,256695,27-Apr-23,25,212,2147,2,Delivered,UPI
February_Sales_2023,254643,1-Feb-23,25,212,2145,4,Delivered,UPI
February_Sales_2023,254661,2-Feb-23,25,212,2146,8,Delivered,UPI
February_Sales_2023,254749,4-Feb-23,25,212,2145,9,Delivered,UPI
February_Sales_2023,254763,4-Feb-23,25,212,2145,9,Delivered,UPI
February_Sales_2023,254783,5-Feb-23,25,212,2146,6,Delivered,UPI
February_Sales_2023,254807,5-Feb-23,25,212,2147,4,Delivered,UPI
February_Sales_2023,254849,7-Feb-23,25,212,2147,5,Delivered,UPI
February_Sales_2023,254868,8-Feb-23,25,212,2147,10,Delivered,UPI
February_Sales_2023,254902,9-Feb-23,25,212,2145,8,Delivered,UPI
February_Sales_2023,254949,11-Feb-23,25,212,2147,7,Delivered,UPI
February_Sales_2023,254997,13-Feb-23,25,212,2147,7,Delivered,UPI
February_Sales_2023,255063,15-Feb-23,25,212,2147,3,Delivered,UPI
February_Sales_2023,255087,16-Feb-23,25,212,2145,1,Delivered,UPI
February_Sales_2023,255192,19-Feb-23,25,212,2146,4,Delivered,UPI
February_Sales_2023,255208,19-Feb-23,25,212,2146,10,Delivered,UPI
February_Sales_2023,255218,20-Feb-23,25,212,2147,3,Delivered,UPI
February_Sales_2023,255261,23-Feb-23,25,212,2147,9,Delivered,UPI
February_Sales_2023,255270,24-Feb-23,25,212,2146,1,Delivered,UPI
February_Sales_2023,255293,24-Feb-23,25,212,2147,1,Delivered,UPI
February_Sales_2023,255352,26-Feb-23,25,212,2147,9,Delivered,UPI
February_Sales_2023,255355,26-Feb-23,25,212,2145,8,Delivered,UPI
January_Sales_2023,254032,3-Jan-23,25,212,2147,1,Delivered,UPI
January_Sales_2023,254090,5-Jan-23,25,212,2147,2,Delivered,UPI
January_Sales_2023,254106,8-Jan-23,25,212,2147,8,Delivered,UPI
January_Sales_2023,254161,10-Jan-23,25,212,2147,4,Delivered,UPI
January_Sales_2023,254168,13-Jan-23,25,212,2147,6,Delivered,UPI
January_Sales_2023,254177,13-Jan-23,25,212,2146,4,Delivered,UPI
January_Sales_2023,254199,14-Jan-23,25,212,2145,8,Delivered,UPI
January_Sales_2023,254205,14-Jan-23,25,212,2145,2,Delivered,UPI
January_Sales_2023,254211,14-Jan-23,25,212,2147,4,Delivered,UPI
January_Sales_2023,254255,15-Jan-23,25,212,2147,10,Delivered,UPI
January_Sales_2023,254287,16-Jan-23,25,212,2146,6,Delivered,UPI
January_Sales_2023,254288,16-Jan-23,25,212,2147,6,Delivered,UPI
January_Sales_2023,254310,17-Jan-23,25,212,2147,7,Delivered,UPI
January_Sales_2023,254335,18-Jan-23,25,212,2145,4,Delivered,UPI
January_Sales_2023,254378,19-Jan-23,25,212,2147,5,Delivered,UPI
January_Sales_2023,254388,20-Jan-23,25,212,2145,5,Delivered,UPI
January_Sales_2023,254409,22-Jan-23,25,212,2145,10,Delivered,UPI
January_Sales_2023,254423,22-Jan-23,25,212,2147,8,Delivered,UPI
January_Sales_2023,254424,22-Jan-23,25,212,2146,7,Delivered,UPI
January_Sales_2023,254434,23-Jan-23,25,212,2147,10,Delivered,UPI
January_Sales_2023,254445,23-Jan-23,25,212,2147,8,Delivered,UPI
January_Sales_2023,254481,26-Jan-23,25,212,2145,7,Delivered,UPI
January_Sales_2023,254502,27-Jan-23,25,212,2147,2,Delivered,UPI
January_Sales_2023,254503,27-Jan-23,25,212,2146,3,Delivered,UPI
January_Sales_2023,254507,27-Jan-23,25,212,2145,10,Delivered,UPI
January_Sales_2023,254512,27-Jan-23,25,212,2147,2,Delivered,UPI
March_Sales_2023,255485,4-Mar-23,25,212,2147,10,Delivered,UPI
March_Sales_2023,255527,5-Mar-23,25,212,2145,10,Delivered,UPI
March_Sales_2023,255540,5-Mar-23,25,212,2145,2,Delivered,UPI
March_Sales_2023,255590,7-Mar-23,25,212,2147,6,Delivered,UPI
March_Sales_2023,255648,12-Mar-23,25,212,2147,7,Delivered,UPI
March_Sales_2023,255674,13-Mar-23,25,212,2145,5,Delivered,UPI
March_Sales_2023,255731,15-Mar-23,25,212,2147,8,Delivered,UPI
March_Sales_2023,255752,15-Mar-23,25,212,2145,5,Delivered,UPI
March_Sales_2023,255769,16-Mar-23,25,212,2145,5,Delivered,UPI
March_Sales_2023,255813,17-Mar-23,25,212,2147,9,Delivered,UPI
March_Sales_2023,255821,17-Mar-23,25,212,2145,9,Delivered,UPI
March_Sales_2023,255842,19-Mar-23,25,212,2147,9,Delivered,UPI
March_Sales_2023,255865,20-Mar-23,25,212,2145,9,Delivered,UPI
March_Sales_2023,255878,21-Mar-23,25,212,2145,2,Delivered,UPI
March_Sales_2023,255940,22-Mar-23,25,212,2147,10,Delivered,UPI
March_Sales_2023,255947,22-Mar-23,25,212,2147,3,Delivered,UPI
March_Sales_2023,255959,23-Mar-23,25,212,2147,4,Delivered,UPI
March_Sales_2023,256007,25-Mar-23,25,212,2145,9,Delivered,UPI
March_Sales_2023,256067,28-Mar-23,25,212,2145,4,Delivered,UPI
March_Sales_2023,256075,28-Mar-23,25,212,2146,7,Delivered,UPI
March_Sales_2023,256108,29-Mar-23,25,212,2147,3,Delivered,UPI
March_Sales_2023,256131,30-Mar-23,25,212,2145,5,Delivered,UPI
March_Sales_2023,256137,30-Mar-23,25,212,2146,5,Delivered,UPI
March_Sales_2023,256162,30-Mar-23,25,212,2145,10,Delivered,UPI
April_Sales_2023,256217,3-Apr-23,25,211,2141,6,Delivered,UPI
April_Sales_2023,256271,5-Apr-23,25,211,2141,5,Delivered,UPI
April_Sales_2023,256298,8-Apr-23,25,211,2142,5,Delivered,UPI
April_Sales_2023,256305,8-Apr-23,25,211,2144,10,Delivered,UPI
April_Sales_2023,256357,13-Apr-23,25,211,2144,5,Delivered,UPI
April_Sales_2023,256392,14-Apr-23,25,211,2144,1,Delivered,UPI
April_Sales_2023,256396,14-Apr-23,25,211,2143,1,Delivered,UPI
April_Sales_2023,256545,18-Apr-23,25,211,2142,3,Delivered,UPI
April_Sales_2023,256591,22-Apr-23,25,211,2143,5,Delivered,UPI
April_Sales_2023,256649,25-Apr-23,25,211,2142,6,Delivered,UPI
April_Sales_2023,256668,26-Apr-23,25,211,2141,5,Delivered,UPI
April_Sales_2023,256727,30-Apr-23,25,211,2142,5,Delivered,UPI
April_Sales_2023,256731,30-Apr-23,25,211,2142,3,Delivered,UPI
February_Sales_2023,254733,3-Feb-23,25,211,2141,7,Delivered,UPI
February_Sales_2023,254741,4-Feb-23,25,211,2142,3,Delivered,UPI
February_Sales_2023,254786,5-Feb-23,25,211,2141,1,Delivered,UPI
February_Sales_2023,254973,12-Feb-23,25,211,2142,1,Delivered,UPI
February_Sales_2023,255005,13-Feb-23,25,211,2143,9,Delivered,UPI
February_Sales_2023,255013,14-Feb-23,25,211,2142,8,Delivered,UPI
February_Sales_2023,255017,14-Feb-23,25,211,2142,8,Delivered,UPI
February_Sales_2023,255077,16-Feb-23,25,211,2143,9,Delivered,UPI
February_Sales_2023,255088,16-Feb-23,25,211,2142,7,Delivered,UPI
February_Sales_2023,255113,17-Feb-23,25,211,2142,5,Delivered,UPI
February_Sales_2023,255114,17-Feb-23,25,211,2143,7,Delivered,UPI
February_Sales_2023,255137,18-Feb-23,25,211,2142,2,Delivered,UPI
February_Sales_2023,255147,18-Feb-23,25,211,2142,1,Delivered,UPI
February_Sales_2023,255155,18-Feb-23,25,211,2144,10,Delivered,UPI
February_Sales_2023,255173,19-Feb-23,25,211,2142,6,Delivered,UPI
February_Sales_2023,255190,19-Feb-23,25,211,2142,5,Delivered,UPI
February_Sales_2023,255196,19-Feb-23,25,211,2142,1,Delivered,UPI
February_Sales_2023,255210,19-Feb-23,25,211,2142,6,Delivered,UPI
February_Sales_2023,255326,25-Feb-23,25,211,2141,4,Delivered,UPI
February_Sales_2023,255341,26-Feb-23,25,211,2141,1,Delivered,UPI
February_Sales_2023,255360,26-Feb-23,25,211,2142,6,Delivered,UPI
February_Sales_2023,255361,26-Feb-23,25,211,2143,1,Delivered,UPI
February_Sales_2023,255415,28-Feb-23,25,211,2142,8,Delivered,UPI
January_Sales_2023,254034,3-Jan-23,25,211,2141,6,Delivered,UPI
January_Sales_2023,254088,5-Jan-23,25,211,2141,5,Delivered,UPI
January_Sales_2023,254115,8-Jan-23,25,211,2142,5,Delivered,UPI
January_Sales_2023,254122,8-Jan-23,25,211,2144,10,Delivered,UPI
January_Sales_2023,254174,13-Jan-23,25,211,2144,5,Delivered,UPI
January_Sales_2023,254209,14-Jan-23,25,211,2144,1,Delivered,UPI
January_Sales_2023,254213,14-Jan-23,25,211,2143,1,Delivered,UPI
January_Sales_2023,254362,18-Jan-23,25,211,2142,3,Delivered,UPI
January_Sales_2023,254408,22-Jan-23,25,211,2143,5,Delivered,UPI
January_Sales_2023,254466,25-Jan-23,25,211,2142,6,Delivered,UPI
January_Sales_2023,254485,26-Jan-23,25,211,2141,5,Delivered,UPI
January_Sales_2023,254544,30-Jan-23,25,211,2142,5,Delivered,UPI
January_Sales_2023,254548,30-Jan-23,25,211,2142,3,Delivered,UPI
January_Sales_2023,254604,31-Jan-23,25,211,2141,2,Delivered,UPI
March_Sales_2023,255435,2-Mar-23,25,211,2141,6,Delivered,UPI
March_Sales_2023,255454,2-Mar-23,25,211,2142,4,Delivered,UPI
March_Sales_2023,255557,6-Mar-23,25,211,2142,8,Delivered,UPI
March_Sales_2023,255563,7-Mar-23,25,211,2142,8,Delivered,UPI
March_Sales_2023,255620,9-Mar-23,25,211,2142,9,Delivered,UPI
March_Sales_2023,255632,11-Mar-23,25,211,2142,9,Delivered,UPI
March_Sales_2023,255663,13-Mar-23,25,211,2141,8,Delivered,UPI
March_Sales_2023,255692,14-Mar-23,25,211,2144,5,Delivered,UPI
March_Sales_2023,255815,17-Mar-23,25,211,2141,7,Delivered,UPI
March_Sales_2023,255831,18-Mar-23,25,211,2143,10,Delivered,UPI
March_Sales_2023,255844,19-Mar-23,25,211,2142,8,Delivered,UPI
March_Sales_2023,255860,19-Mar-23,25,211,2143,5,Delivered,UPI
March_Sales_2023,255906,21-Mar-23,25,211,2142,4,Delivered,UPI
March_Sales_2023,255931,22-Mar-23,25,211,2142,7,Delivered,UPI
March_Sales_2023,255942,22-Mar-23,25,211,2142,4,Delivered,UPI
March_Sales_2023,255972,23-Mar-23,25,211,2141,6,Delivered,UPI
March_Sales_2023,255977,23-Mar-23,25,211,2141,10,Delivered,UPI
March_Sales_2023,255986,24-Mar-23,25,211,2142,6,Delivered,UPI
March_Sales_2023,256051,27-Mar-23,25,211,2144,7,Delivered,UPI
March_Sales_2023,256115,29-Mar-23,25,211,2141,1,Delivered,UPI
April_Sales_2023,256194,2-Apr-23,25,213,2148,4,Delivered,UPI
April_Sales_2023,256199,2-Apr-23,25,217,2165,10,Delivered,UPI
April_Sales_2023,256263,5-Apr-23,25,217,2167,5,Delivered,UPI
April_Sales_2023,256270,5-Apr-23,25,214,2151,4,Delivered,UPI
April_Sales_2023,256280,5-Apr-23,25,213,2149,7,Delivered,UPI
April_Sales_2023,256284,6-Apr-23,25,214,2152,3,Delivered,UPI
April_Sales_2023,256343,10-Apr-23,25,216,2163,1,Delivered,UPI
April_Sales_2023,256345,11-Apr-23,25,213,2148,7,Delivered,UPI
April_Sales_2023,256416,15-Apr-23,25,213,2149,4,Delivered,UPI
April_Sales_2023,256422,15-Apr-23,25,214,2151,4,Delivered,UPI
April_Sales_2023,256430,15-Apr-23,25,216,2160,3,Delivered,UPI
April_Sales_2023,256448,16-Apr-23,25,214,2155,8,Delivered,UPI
